編號,銷售日期,商品名稱,單次銷售數量,單價,入帳金額
1,2025-01-01,電腦滑鼠,1,1590,1590
2,2025-01-02,電腦滑鼠,4,1590,6360
3,2025-01-04,電腦滑鼠,4,1590,6360
4,2025-01-05,藍牙耳機,6,1890,11340
5,2025-01-06,智慧手環,3,1290,3870
6,2025-01-06,機械鍵盤,3,3490,10470
7,2025-01-08,智慧手環,3,1290,3870
8,2025-01-08,電腦滑鼠,1,1590,1590
9,2025-01-08,智慧手環,1,1290,1290
10,2025-01-09,藍牙耳機,2,1890,3780
11,2025-01-12,藍牙耳機,2,1890,3780
12,2025-01-12,藍牙耳機,5,1890,9450
13,2025-01-12,行動電源,2,990,1980
14,2025-01-12,電腦滑鼠,1,1590,1590
15,2025-01-14,機械鍵盤,3,3490,10470
16,2025-01-15,機械鍵盤,1,3490,3490
17,2025-01-19,電腦滑鼠,1,1590,1590
18,2025-01-22,智慧手環,2,1290,2580
19,2025-01-23,藍牙耳機,6,1890,11340
20,2025-01-24,行動電源,1,990,990
21,2025-01-27,機械鍵盤,1,3490,3490
22,2025-01-28,電腦滑鼠,2,1590,3180
23,2025-01-29,行動電源,5,990,4950
24,2025-01-30,行動電源,2,990,1980
25,2025-02-02,行動電源,4,990,3960
26,2025-02-03,機械鍵盤,5,3490,17450
27,2025-02-05,電腦滑鼠,2,1590,3180
28,2025-02-08,機械鍵盤,3,3490,10470
29,2025-02-10,藍牙耳機,2,1890,3780
30,2025-02-12,電腦滑鼠,1,1590,1590
31,2025-02-14,電腦滑鼠,3,1590,4770
32,2025-02-16,行動電源,3,990,2970
33,2025-02-17,機械鍵盤,5,3490,17450
34,2025-02-18,機械鍵盤,1,3490,3490
35,2025-02-21,智慧手環,6,1290,7740
36,2025-02-24,智慧手環,5,1290,6450
37,2025-02-25,電腦滑鼠,1,1590,1590
38,2025-02-28,藍牙耳機,3,1890,5670
39,2025-03-01,藍牙耳機,1,1890,1890
40,2025-03-03,智慧手環,4,1290,5160
41,2025-03-06,智慧手環,2,1290,2580
42,2025-03-08,智慧手環,2,1290,2580
43,2025-03-11,智慧手環,6,1290,7740
44,2025-03-14,電腦滑鼠,5,1590,7950
45,2025-03-17,藍牙耳機,5,1890,9450
46,2025-03-20,藍牙耳機,2,1890,3780
47,2025-03-22,機械鍵盤,3,3490,10470
48,2025-03-25,行動電源,2,990,1980
49,2025-03-28,智慧手環,1,1290,1290
50,2025-03-29,電腦滑鼠,3,1590,4770
51,2025-03-31,智慧手環,1,1290,1290
52,2025-04-01,行動電源,6,990,5940
53,2025-04-03,藍牙耳機,6,1890,11340
54,2025-04-05,機械鍵盤,6,3490,20940
55,2025-04-07,藍牙耳機,3,1890,5670
56,2025-04-08,藍牙耳機,6,1890,11340
57,2025-04-11,行動電源,3,990,2970
58,2025-04-14,行動電源,4,990,3960
59,2025-04-17,機械鍵盤,3,3490,10470
60,2025-04-18,藍牙耳機,5,1890,9450
61,2025-04-20,電腦滑鼠,1,1590,1590
62,2025-04-21,藍牙耳機,6,1890,11340
63,2025-04-22,機械鍵盤,5,3490,17450
64,2025-04-23,機械鍵盤,4,3490,13960
65,2025-04-26,機械鍵盤,5,3490,17450
66,2025-04-28,行動電源,1,990,990
67,2025-05-01,電腦滑鼠,6,1590,9540
68,2025-05-04,智慧手環,6,1290,7740
69,2025-05-06,電腦滑鼠,3,1590,4770
70,2025-05-08,藍牙耳機,4,1890,7560
71,2025-05-09,智慧手環,5,1290,6450
72,2025-05-10,行動電源,1,990,990
73,2025-05-13,智慧手環,6,1290,7740
74,2025-05-16,行動電源,2,990,1980
75,2025-05-17,智慧手環,2,1290,2580
76,2025-05-20,行動電源,1,990,990
77,2025-05-23,智慧手環,4,1290,5160
78,2025-05-24,電腦滑鼠,3,1590,4770
79,2025-05-26,藍牙耳機,1,1890,1890
80,2025-05-27,行動電源,1,990,990
81,2025-05-28,機械鍵盤,1,3490,3490
82,2025-05-31,藍牙耳機,2,1890,3780
83,2025-06-03,機械鍵盤,5,3490,17450
84,2025-06-04,智慧手環,5,1290,6450
85,2025-06-07,機械鍵盤,2,3490,6980
86,2025-06-10,藍牙耳機,6,1890,11340
87,2025-06-12,機械鍵盤,6,3490,20940
88,2025-06-15,智慧手環,4,1290,5160
89,2025-06-18,機械鍵盤,1,3490,3490
90,2025-06-19,藍牙耳機,1,1890,1890
91,2025-06-21,電腦滑鼠,5,1590,7950
92,2025-06-24,藍牙耳機,5,1890,9450
93,2025-06-25,電腦滑鼠,1,1590,1590
94,2025-06-28,電腦滑鼠,2,1590,3180
95,2025-06-29,電腦滑鼠,3,1590,4770
96,2025-06-30,行動電源,2,990,1980
97,2025-07-02,機械鍵盤,2,3490,6980
98,2025-07-05,藍牙耳機,6,1890,11340
99,2025-07-08,行動電源,4,990,3960
100,2025-07-09,機械鍵盤,4,3490,13960
