Seq,類別月份,學校場次,學校人次,社區鄰里場次,社區鄰里人次,工廠場次,工廠人次,公共場所場次,公共場所人次,政府機關場次,政府機關人次,醫院與老福機構場次,醫院與老福機構人次,墓地場次,墓地人次,住宅式宮廟場次,住宅式宮廟人次,多元族群含移工場次,多元族群含移工人次,其它場次,其它人次,合計場次,合計人次,消防動員宣導人次,義消動員宣導人次,婦宣動員宣導人次,其它動員宣導人次,合計動員宣導人次
1,01,32,4000,30,4032,3,37,43,13821,11,1510,13,450,0,0,4,203,20,82,37,1870,193,26005,372,133,260,10,775
2,02,51,9515,18,1268,6,152,26,2073,5,172,6,81,35,21,3,102,25,87,38,1741,213,15212,331,23,117,7,478
3,03,65,12110,27,2278,14,362,32,3982,6,401,5,125,149,859,2,202,1,10,38,803,339,21132,519,24,96,4,643
4,04,23,2970,25,997,6,750,23,3577,11,327,6,165,49,2240,1,2,0,0,20,1037,164,12065,254,60,211,8,533
5,05,27,4085,35,2451,6,490,18,1302,14,681,15,415,0,0,1,1,1,11,28,1251,145,10687,217,42,121,7,387
6,06,20,2433,31,804,23,946,19,342,8,297,6,186,0,0,1,80,0,0,37,766,145,5854,189,9,96,1,295
7,07,3,120,33,495,10,670,19,2560,15,1303,1,50,0,0,0,0,0,0,29,392,110,5590,163,14,84,19,280
8,08,7,820,27,1131,8,87,17,1560,6,118,7,190,0,0,1,12,2,58,35,841,110,4817,140,17,54,0,211
9,09,63,10189,30,1007,8,245,25,2674,8,534,9,245,0,0,2,150,2,60,27,1303,174,16407,276,28,111,11,426
10,10,17,2115,39,3423,8,245,23,3551,11,183,7,186,0,0,2,15,1,50,27,901,135,10669,205,18,128,3,354
11,11,9,1657,31,948,7,315,28,4037,10,805,15,790,0,0,1,13,1,100,27,2038,129,10703,201,58,100,0,359
12,12,20,4457,31,1531,9,373,21,3050,3,72,13,552,0,0,1,2,1,20,28,1192,127,11249,211,35,152,1,399
