推文數,標題,作者,日期,網址
1,[新聞] 稻田彩繪回來了 台南好米季8/23插秧活動主角曝光,hihihihehehe,8/22,https://www.ptt.cc/bbs/Tainan/M.1787329133.A.490.html
,(本文已被刪除) [tx210],-,8/22,
80,[小心] (更正)安南區方向疑似爆炸,Overflag,8/22,https://www.ptt.cc/bbs/Tainan/M.1787338345.A.F24.html
56,[新聞] 台南凌晨「安南大爆炸」影片曝光　3勇긠,qq204,8/22,https://www.ptt.cc/bbs/Tainan/M.1787349063.A.DBF.html
21,[問題] 國旅補助來了 台南民宿漲至160%,medama,8/22,https://www.ptt.cc/bbs/Tainan/M.1787366423.A.BD0.html
21,[新聞] 台南爆炸疑堆置含鎂土廢棄物釀禍 警查,jganet,8/22,https://www.ptt.cc/bbs/Tainan/M.1787366639.A.F7B.html
23,Re: [小心] (更正)安南區方向疑似爆炸,forsakesheep,8/22,https://www.ptt.cc/bbs/Tainan/M.1787368167.A.553.html
,[交易] Mamas & Papas二合一育成椅/餐椅,tricklove,8/22,https://www.ptt.cc/bbs/Tainan/M.1787372546.A.ED7.html
9,[小心] 預警性封路，注意大雨,aa1477888,8/22,https://www.ptt.cc/bbs/Tainan/M.1787372733.A.7E9.html
6,[新聞] 台南安南區爆炸釀14傷　賴清德急電黃偉哲,zkow,8/22,https://www.ptt.cc/bbs/Tainan/M.1787377775.A.1F1.html
12,[新聞] 台南大爆炸15傷、毀11戶「兇手在高雄」！,zkow,8/22,https://www.ptt.cc/bbs/Tainan/M.1787377896.A.663.html
,(本文已被刪除) [fafa0223],-,8/22,
1,[交易] Dyson SV18吸塵器(含全新吸頭和立架),hika01,8/22,https://www.ptt.cc/bbs/Tainan/M.1787379976.A.53B.html
17,[新聞] 快訊／堆鎂鋁廢棄物釀台南大爆炸！環保局,joanzkow,8/22,https://www.ptt.cc/bbs/Tainan/M.1787380340.A.2B6.html
,[交易] 台南新市徵租客（近南科）,fafa0223,8/22,https://www.ptt.cc/bbs/Tainan/M.1787380530.A.D03.html
5,Re: [情報] 台南政大書城 全館75折，至115年8月31日止,betty31024,8/22,https://www.ptt.cc/bbs/Tainan/M.1787380856.A.E7F.html
,[交易] Gamma quick dry黑色短褲,aup3cl4,8/22,https://www.ptt.cc/bbs/Tainan/M.1787381361.A.042.html
,[公告] 台南板板規,Bignana,8/25,https://www.ptt.cc/bbs/Tainan/M.1629857846.A.B19.html
爆,[公告] 3C與周邊、各類交易類　→請推本文←,lianpig5566,1/01,https://www.ptt.cc/bbs/Tainan/M.1640974525.A.6F6.html
爆,[公告] 票券、卡片類與收集類　→請推本文←,lianpig5566,1/01,https://www.ptt.cc/bbs/Tainan/M.1640974569.A.119.html
