幣別,代碼,現金買入,現金賣出,即期買入,即期賣出,掛牌時間
美金,USD,31.45,32.12,31.775,31.925,2026/08/22 12:05
港幣,HKD,3.907,4.111,4.028,4.098,2026/08/22 12:05
英鎊,GBP,42.25,44.37,43.145,43.775,2026/08/22 12:05
澳幣,AUD,22.47,23.25,22.685,23.03,2026/08/22 12:05
加拿大幣,CAD,22.65,23.56,22.98,23.31,2026/08/22 12:05
新加坡幣,SGD,24.51,25.42,24.98,25.2,2026/08/22 12:05
瑞士法郎,CHF,38.96,40.16,39.57,39.96,2026/08/22 12:05
日圓,JPY,0.1912,0.204,0.198,0.203,2026/08/22 12:05
南非幣,ZAR,-,-,1.943,2.033,2026/08/22 12:05
瑞典幣,SEK,-,-,3.31,3.43,2026/08/22 12:05
紐元,NZD,18.56,19.41,18.89,19.19,2026/08/22 12:05
泰幣,THB,0.8459,1.0359,0.9563,1.0023,2026/08/22 12:05
菲國比索,PHP,0.4506,0.5826,-,-,2026/08/22 12:05
印尼幣,IDR,0.00148,0.00218,-,-,2026/08/22 12:05
歐元,EUR,36.4,37.74,36.915,37.515,2026/08/22 12:05
韓元,KRW,0.02124,0.02514,-,-,2026/08/22 12:05
越南盾,VND,0.00097,0.00138,-,-,2026/08/22 12:05
馬來幣,MYR,6.861,8.386,-,-,2026/08/22 12:05
人民幣,CNY,4.644,4.806,4.711,4.771,2026/08/22 12:05
