類別月份,學校場次,學校人次,社區鄰里場次,社區鄰里人次,工廠場次,工廠人次,公共場所場次,公共場所人次,政府機關場次,政府機關人次,醫院與老福機構場次,醫院與老福機構人次,墓地場次,墓地人次,住宅式宮廟場次,住宅式宮廟人次,多元族群含移工場次,多元族群含移工人次,其它場次,其它人次,合計場次,合計人次,消防動員宣導人次,義消動員宣導人次,婦宣動員宣導人次,其它動員宣導人次,合計動員宣導人次
01,46,6713,160,2718,21,271,95,13529,26,1943,10,745,0,0,30,49,4,7,143,4783,525,29882,913,726,340,19,1998
02,41,6747,192,2121,20,723,88,9856,9,473,13,300,0,0,14,236,2,12,194,4672,557,21306,513,181,282,16,992
03,76,11444,235,1757,28,1016,51,4933,14,414,89,1429,222,1174,45,75,3,10,157,1364,911,22316,1120,133,311,15,1579
04,34,5846,303,2191,19,868,49,2580,16,376,61,1434,256,2257,23,59,4,14,158,1724,913,15235,927,181,238,25,1371
05,91,7113,203,1507,19,535,60,3948,24,913,38,669,0,0,44,42,1,2,196,1116,664,15758,774,112,258,7,1151
06,89,13027,177,2101,25,671,56,2628,27,1372,49,940,0,0,66,100,1,200,179,1436,668,21274,747,108,239,8,1102
07,13,2715,202,1914,57,332,47,2025,15,644,30,491,1,20,33,76,144,626,230,976,774,9515,645,98,448,4,1195
08,16,3465,191,1367,35,608,46,2256,12,72,37,619,1,5,35,29,0,0,170,904,548,9157,602,96,219,14,960
09,153,13037,230,1973,28,954,73,2695,50,466,80,653,0,0,37,49,0,0,219,989,892,19111,800,122,290,7,1448
10,25,3794,157,1492,28,606,62,2452,10,175,29,568,0,0,25,22,0,0,152,1155,496,9940,560,108,217,4,889
11,27,3934,187,1516,19,446,61,2701,15,598,35,495,0,0,25,15,2,50,185,1402,554,11021,596,109,283,4,992
12,45,4403,241,1946,74,1201,114,4129,14,868,33,666,0,0,33,75,1,10,214,973,766,13477,585,134,305,4,1039
