訂單編號,日期,時段,門市,飲品,尺寸,甜度,冰塊,數量,單價,等待分鐘,評分
O001,2026-06-01,早班,台北車站店,珍珠奶茶,中杯,半糖,少冰,2,55,6,5
O002,2026-06-01,早班,台北車站店,紅茶拿鐵,大杯,微糖,去冰,1,65,4,4
O003,2026-06-01,午班,西門店,多多綠茶,中杯,正常糖,正常冰,3,50,9,4
O004,2026-06-01,午班,西門店,冬瓜檸檬,大杯,半糖,少冰,1,60,5,5
O005,2026-06-01,晚班,板橋店,烏龍青茶,中杯,無糖,微冰,2,40,3,4
O006,2026-06-01,晚班,板橋店,芋泥鮮奶,大杯,微糖,少冰,1,75,8,5
O007,2026-06-02,早班,台北車站店,美式咖啡,中杯,無糖,去冰,2,45,4,3
O008,2026-06-02,早班,台北車站店,珍珠奶茶,大杯,半糖,少冰,1,65,7,5
O009,2026-06-02,午班,西門店,紅茶拿鐵,中杯,微糖,正常冰,2,55,6,4
O010,2026-06-02,午班,西門店,葡萄柚綠茶,大杯,半糖,少冰,2,70,10,5
O011,2026-06-02,晚班,板橋店,冬瓜檸檬,中杯,半糖,微冰,1,50,4,4
O012,2026-06-02,晚班,板橋店,多多綠茶,大杯,正常糖,正常冰,2,60,11,3
O013,2026-06-03,早班,台北車站店,烏龍青茶,大杯,無糖,去冰,3,50,5,4
O014,2026-06-03,早班,台北車站店,芋泥鮮奶,中杯,微糖,少冰,1,65,7,5
O015,2026-06-03,午班,西門店,珍珠奶茶,中杯,半糖,少冰,4,55,12,5
O016,2026-06-03,午班,西門店,美式咖啡,大杯,無糖,去冰,1,55,3,4
O017,2026-06-03,晚班,板橋店,葡萄柚綠茶,中杯,半糖,少冰,2,60,8,4
O018,2026-06-03,晚班,板橋店,紅茶拿鐵,大杯,微糖,微冰,2,65,6,5
O019,2026-06-04,早班,台北車站店,冬瓜檸檬,大杯,半糖,少冰,2,60,5,4
O020,2026-06-04,早班,台北車站店,多多綠茶,中杯,正常糖,正常冰,1,50,6,3
O021,2026-06-04,午班,西門店,烏龍青茶,中杯,無糖,去冰,3,40,4,4
O022,2026-06-04,午班,西門店,芋泥鮮奶,大杯,微糖,少冰,2,75,9,5
O023,2026-06-04,晚班,板橋店,珍珠奶茶,大杯,半糖,少冰,2,65,8,5
O024,2026-06-04,晚班,板橋店,美式咖啡,中杯,無糖,去冰,1,45,3,4
O025,2026-06-05,早班,台北車站店,葡萄柚綠茶,大杯,半糖,少冰,1,70,7,5
O026,2026-06-05,早班,台北車站店,紅茶拿鐵,中杯,微糖,微冰,2,55,5,4
O027,2026-06-05,午班,西門店,冬瓜檸檬,中杯,半糖,少冰,3,50,6,4
O028,2026-06-05,午班,西門店,多多綠茶,大杯,正常糖,正常冰,3,60,13,3
O029,2026-06-05,晚班,板橋店,烏龍青茶,大杯,無糖,去冰,2,50,4,5
O030,2026-06-05,晚班,板橋店,芋泥鮮奶,中杯,微糖,少冰,1,65,8,5
O031,2026-06-06,早班,台北車站店,珍珠奶茶,中杯,半糖,少冰,3,55,9,5
O032,2026-06-06,早班,台北車站店,美式咖啡,大杯,無糖,去冰,2,55,4,4
O033,2026-06-06,午班,西門店,葡萄柚綠茶,中杯,半糖,少冰,2,60,8,5
O034,2026-06-06,午班,西門店,紅茶拿鐵,大杯,微糖,微冰,1,65,5,4
O035,2026-06-06,晚班,板橋店,冬瓜檸檬,大杯,半糖,少冰,2,60,6,4
O036,2026-06-06,晚班,板橋店,多多綠茶,中杯,正常糖,正常冰,4,50,14,3
O037,2026-06-07,早班,台北車站店,烏龍青茶,中杯,無糖,去冰,2,40,3,4
O038,2026-06-07,早班,台北車站店,芋泥鮮奶,大杯,微糖,少冰,1,75,7,5
O039,2026-06-07,午班,西門店,珍珠奶茶,大杯,半糖,少冰,3,65,11,5
O040,2026-06-07,午班,西門店,美式咖啡,中杯,無糖,去冰,1,45,4,4
