公司名稱,公司規模,員工評分,是否遠端,加班程度
星河數據,中型,4.1,否,普通
日光零售,大型,3.8,否,普通
青鳥科技,小型,4.0,是,偏少
快測科技,中型,3.9,是,普通
小島選物,小型,4.3,否,偏少
晨星物流,大型,3.5,否,偏多
好食餐飲,中型,3.4,否,偏多
雲端智造,中型,4.4,是,普通
日日美妝,小型,3.7,否,普通
遠景顧問,中型,4.0,是,偏多
像素工坊,小型,4.5,是,偏少
港都物流,大型,3.6,否,普通
春田文創,小型,4.2,是,偏少
北辰金融科技,大型,4.1,是,普通
藍海平台,中型,3.8,否,普通
合眾保險,大型,3.7,否,偏多
山城旅遊,小型,4.0,否,普通
南方超市,大型,3.9,否,普通
彩虹設計,小型,3.6,是,普通
晶準科技,大型,4.2,否,普通
城市外送,大型,3.8,是,偏多
安心醫材,中型,3.9,否,普通
小樹教育,小型,4.1,是,偏少
智動工業,中型,4.3,否,普通
南星百貨,大型,3.7,否,普通
府城食品,中型,3.8,否,普通
竹科生活網,小型,4.0,是,普通
未來模型,中型,4.5,是,普通
甜甜烘焙,小型,3.9,否,偏少
綠能科技,中型,4.1,是,普通
城市設計所,小型,4.2,是,偏少
大港製造,大型,3.5,否,偏多
海風媒體,小型,4.0,是,普通
群山證券,大型,3.9,否,偏多
快買商城,中型,3.8,否,普通
中原電商,中型,3.7,是,普通
旅人誌,小型,4.1,是,偏少
南部生活館,大型,3.8,否,普通
好站科技,小型,4.0,是,普通
晶圓夥伴,大型,4.3,否,普通
買買科技,中型,3.9,是,普通
北方餐飲,大型,3.5,否,偏多
花路平台,小型,4.2,是,偏少
中區醫材,中型,3.8,否,普通
港邊選物,小型,4.0,否,偏少
台南倉配,中型,3.6,否,普通
新竹雲端,中型,4.1,是,普通
模型盒子,小型,4.4,是,普通
香氛日記,小型,4.0,否,偏少
桃園智慧城,中型,3.9,是,普通
台中互動,小型,4.2,是,偏少
南方倉儲,大型,3.7,否,普通
老屋文創,小型,4.1,是,偏少
安心支付,大型,4.2,是,普通
藍線商務,中型,3.8,是,普通
雲測實驗室,中型,4.0,是,普通
中城廣告,小型,3.7,否,普通
高雄百貨,大型,3.8,否,普通
府城平台,中型,3.9,是,普通
光速半導體,大型,4.4,否,普通
城市健身,中型,3.9,否,普通
快配物流,大型,3.6,否,普通
展場通,小型,4.0,否,普通
中部智造,中型,4.2,否,普通
南島商城,中型,3.9,否,普通
南味食品,中型,3.7,否,普通
竹風購物,中型,3.8,否,普通
亮亮保養,小型,4.0,否,偏少
互動森林,小型,4.3,是,偏少
港都製造,大型,3.6,否,普通

