類別月份,學校場次,學校人次,社區鄰里場次,社區鄰里人次,工廠場次,工廠人次,公共場所場次,公共場所人次,政府機關場次,政府機關人次,醫院與老福機構場次,醫院與老福機構人次,墓地場次,墓地人次,住宅式宮廟場次,住宅式宮廟人次,大型活動場次,大型活動人次,其它場次,其它人次,合計場次,合計人次,消防動員宣導人次,義消動員宣導人次,動員宣導人次,婦宣動員宣導人次,合計動員宣導人次
01,80,13166,242,2806,18,573,100,17148,25,1320,17,287,0,0,89,115,0,0,211,2315,774,35485,814,261,300,30,1508
02,25,2834,278,4330,20,508,100,19898,16,194,18,454,0,0,24,48,0,0,213,3715,680,29935,701,358,309,29,1587
03,94,18028,171,1448,24,632,156,8537,18,518,26,1357,108,609,30,50,0,0,217,3805,850,35029,882,219,333,22,1236
04,44,6573,166,1297,36,786,126,3497,12,400,16,715,143,2517,66,103,0,0,204,1792,814,17700,853,246,196,26,1321
05,51,7733,167,1400,41,1068,129,2835,23,833,41,776,8,80,119,110,0,0,199,994,778,15853,595,94,206,16,1073
06,77,4325,155,991,39,1034,45,2668,19,757,23,259,0,0,117,164,0,0,214,1124,692,11345,568,90,159,25,955
07,24,1634,183,1421,24,465,49,2186,16,304,12,305,0,0,64,73,0,0,201,1403,573,7814,464,114,232,11,963
08,36,2185,144,1229,21,537,43,2180,18,280,22,648,1,10,54,79,0,0,202,1291,541,8472,411,108,105,7,731
09,93,14821,167,1595,39,687,62,3037,15,421,49,707,0,0,61,86,0,0,213,1909,690,22756,598,91,260,10,1482
10,30,2181,151,1398,52,1063,65,2962,13,442,15,440,0,0,24,24,0,0,239,1047,589,9556,497,80,244,12,1019
11,26,2552,170,1111,53,1000,50,1979,14,295,18,725,0,0,25,29,0,0,206,1077,562,8820,476,102,206,12,898
12,31,2600,182,1465,58,821,42,2312,14,861,17,260,0,0,33,34,0,0,229,1164,606,9449,455,81,271,15,985
