類別月份,學校場次,學校人次,社區鄰里場次,社區鄰里人次,工廠場次,工廠人次,公共場所場次,公共場所人次,政府機關場次,政府機關人次,醫院與老福機構場次,醫院與老福機構人次,墓地場次,墓地人次,住宅式宮廟場次,住宅式宮廟人次,多元族群含移工場次,多元族群含移工人次,其它場次,其它人次,合計場次,合計人次,消防動員宣導人次,義消動員宣導人次,婦宣動員宣導人次,其它動員宣導人次,合計動員宣導人次
01,46,5686,19,963,5,514,80,7735,23,2499,13,394,0,0,12,15,0,0,37,1530,224,18091,497,1533,125,16,743
02,8,649,75,1547,7,497,89,7764,12,686,29,397,0,0,4,4,1,200,36,1683,261,13427,503,294,189,0,986
03,97,12055,31,755,34,503,42,2338,10,340,29,382,224,639,2,8,0,0,70,2918,539,19938,788,66,152,2,1008
04,55,5796,22,717,30,801,35,1450,22,498,29,440,116,1309,5,13,0,0,21,1421,335,12445,516,119,93,4,732
05,50,3633,7,1626,10,350,15,1115,1,40,17,302,0,0,5,11,1,250,11,147,117,7474,207,15,20,0,242
06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07,0,0,2,2,0,0,6,125,0,0,0,0,0,0,2,4,0,0,0,0,10,131,9,0,0,0,9
08,20,771,19,258,5,66,23,378,11,35,42,583,0,0,34,98,0,0,17,252,171,2441,206,2,24,0,232
09,119,9527,17,814,7,165,33,1333,18,271,58,557,0,0,9,9,0,0,18,513,279,13189,404,6,37,0,447
10,17,990,19,846,12,436,39,2361,15,1003,15,248,0,0,0,0,1,20,28,534,146,6438,228,10,43,3,284
11,17,860,33,1760,6,172,44,2531,18,555,12,311,0,0,0,0,0,0,30,354,160,6543,236,27,71,2,336
12,24,3460,21,1754,11,721,45,3369,21,808,7,197,0,0,0,0,0,0,21,712,150,11021,258,18,115,1,392
