排名,書名,作者,折扣,優惠價,價格原文,商品網址,封面網址
1,攔截胰臟癌：破解癌王無聲警報，及早攔截沉默殺手,章明珠,79折,379,優惠價： 79 折 379 元,https://www.books.com.tw/products/0011058855?loc=P_0003_001,https://www.books.com.tw
2,臺灣漫遊錄,楊双子,79折,300,優惠價： 79 折 300 元,https://www.books.com.tw/products/0010852315?loc=P_0003_002,https://www.books.com.tw
3,花錢的藝術：打造富足人生的金錢心理學【博客來獨家附贈財富透析．互動金句透卡】,摩根．豪瑟,79折,379,優惠價： 79 折 379 元,https://www.books.com.tw/products/0011057581?loc=P_0003_003,https://www.books.com.tw
4,去家庭餐廳吧。 (首刷限定版) 下,和山やま,85折,382,優惠價： 85 折 382 元,https://www.books.com.tw/products/0011055896?loc=P_0003_004,https://www.books.com.tw
5,隨他們去：全球熱銷突破1000萬冊現象級巨作！改變千萬人命運的心理技巧【博客來獨家版．附內在覺醒影響力躍昇卡】,梅爾．羅賓斯,79折,355,優惠價： 79 折 355 元,https://www.books.com.tw/products/0011055312?loc=P_0003_005,https://www.books.com.tw
6,ONE PIECE航海王 (首刷限定版) 114,尾田榮一郎,85折,123,優惠價： 85 折 123 元,https://www.books.com.tw/products/0011056606?loc=P_0003_006,https://www.books.com.tw
7,"解憂雜貨店【50萬冊紀念愛藏版】：感動全球1,400 萬人的奇蹟之書，東野圭吾最令人感動落淚的作品！（附首刷限定特典「經典封面集錦明信片」）",東野圭吾,79折,276,優惠價： 79 折 276 元,https://www.books.com.tw/products/0011055713?loc=P_0003_007,https://www.books.com.tw
8,鏈鋸人 (首刷限定版) 23,藤本樹,85折,195,優惠價： 85 折 195 元,https://www.books.com.tw/products/0011053844?loc=P_0003_008,https://www.books.com.tw
9,薰香花朵凛然綻放 (首刷限定版) 21,三香見SAKA,85折,212,優惠價： 85 折 212 元,https://www.books.com.tw/products/0011055697?loc=P_0003_009,https://www.books.com.tw
10,我內心的糟糕念頭 (首刷限定版) 13,桜井紀雄,85折,195,優惠價： 85 折 195 元,https://www.books.com.tw/products/0011055326?loc=P_0003_010,https://www.books.com.tw
11,Rewire-神經可塑性：用神經科學突破行為模式迴圈，終結焦慮、恐慌和憂鬱，實現最佳的心理健康,妮可．維諾拉,79折,331,優惠價： 79 折 331 元,https://www.books.com.tw/products/0010990062?loc=P_0003_011,https://www.books.com.tw
12,唯紅花綻放:習近平時代的認同與歸屬,馮哲芸,79折,395,優惠價： 79 折 395 元,https://www.books.com.tw/products/0011048033?loc=P_0003_012,https://www.books.com.tw
13,納瓦爾寶典珍藏版：從白手起家到財務自由，矽谷傳奇創投家的投資哲學與人生智慧,艾瑞克．喬根森,79折,355,優惠價： 79 折 355 元,https://www.books.com.tw/products/0011012422?loc=P_0003_013,https://www.books.com.tw
14,烙印勇士 (首刷限定版) 43,三浦建太郎,85折,204,優惠價： 85 折 204 元,https://www.books.com.tw/products/0011054623?loc=P_0003_014,https://www.books.com.tw
15,台灣的李登輝時代：意外國度的重塑,林孝庭,79折,497,優惠價： 79 折 497 元,https://www.books.com.tw/products/0011057571?loc=P_0003_015,https://www.books.com.tw
