標題,日期,摘要,網址
陳金德政委視察馬太鞍復原重建工作進度 示範田產量恢復災前水準,115-08-21,行政院政務委員陳金德今（21）日前往花蓮縣光復鄉勘查馬太鞍溪堰塞湖災後復原重建工作進度，包括農業災區復耕情況、阿陶莫地區花蓮縣管排水背水堤新建工程等。陳政委肯定農業部的努力，讓示範田區大豆與玉米產量恢復近災前水準，......,https://www.ey.gov.tw/Page/9277F759E41CCD91/36376d4a-911c-4f82-9f4a-d53c4b62bd5f
回應推動轉型正義會報委員及民間團體關切 政院：面對預算全刪衝擊，持續堅定推動轉型正義工作,115-08-21,針對近期關心轉型正義的民間團體發起連署，以及行政院推動轉型正義會報民間委員日前發表共同聲明，關切115年度中央政府總預算中行政院「人權及轉型正義」業務預算遭全數刪除一事，行政院今（21）日表示，政院立場與委員聲明中......,https://www.ey.gov.tw/Page/9277F759E41CCD91/423870b0-587f-466d-beb1-e7c7f674c76f
出席績優調解人員表揚大會 張秘書長肯定獲獎人員化解紛爭 成社會安定力量,115-08-21,行政院秘書長張惇涵今（21）日出席「114年調解案件榮獲中央各獎項績優人員表揚大會」，代表賴清德總統頒發服務滿30年的感謝狀，以及代表卓榮泰院長頒發「行政院獨任調解獎」及「協同調解績優獎」。張秘書長向來自全國各地的......,https://www.ey.gov.tw/Page/9277F759E41CCD91/af6250e4-51bd-4d9b-bdf3-1000f9fb6783
參訪臺灣科技新創基地 卓揆：研議北士科設新創基地可行性 為首都圈黃金廊帶注入能量,115-08-20,行政院長卓榮泰今（20）日參訪臺灣科技新創基地（TTA）時表示，目前臺灣科技新創基地空間已趨近飽和，考量各界對新創空間的需求與期待，請國家科學及技術委員會正式立案研議在北投士林科技園區（北士科）成立新的TTA可行性......,https://www.ey.gov.tw/Page/9277F759E41CCD91/aa083d32-38bc-4e0e-9a29-a2458061bfdc
116年度中央政府總預算案達成收支平衡、依法還債、無新增債務 卓揆呼籲立院合理、如期完成審查 照顧全民福祉,115-08-20,「116年度中央政府總預算案暨附屬單位預算及綜計表」於今（20）日在行政院會通過，將送請立法院審議，行政院長卓榮泰於院會後親自召開記者會，向國人說明總預算案編製情形。卓院長表示，116年度總預算案歲入與歲出皆編列3......,https://www.ey.gov.tw/Page/9277F759E41CCD91/c9b62b00-c255-4c12-9eda-85409410beac
政院通過116年度施政計畫草案 卓揆期勉落實各項施政 奠定臺灣向上發展基礎,115-08-20,"行政院會今（20）日通過國家發展委員會擬具之「行政院116年度施政計畫（草案）」，併同中央政府總預算案函送立法院審議。
 

行政院長卓榮泰表示，行政院116年度施政計畫係各機關配合國家發展需求，回應人民期待......",https://www.ey.gov.tw/Page/9277F759E41CCD91/f9c5637a-9e2d-43b5-9da9-8f9aad9a5ebe
115年度總預算遭大幅刪凍 影響機關正常運作 卓揆籲立法院秉持專業、合理與比例原則審議明年度預算,115-08-20,行政院長卓榮泰今（20）日於行政院會聽取本院主計總處「115年度中央政府總預算案立法院審議結果」報告後表示，115年度中央政府總預算案經立法院審議，總共刪減480億元，除較112至114年追加後預算平均刪減數增加1......,https://www.ey.gov.tw/Page/9277F759E41CCD91/7c278e63-b6b3-47c3-8177-1734bb5f0b9b
2026年8月20日行政院會後記者會（第4017次會議）,115-08-20,,https://www.ey.gov.tw/Page/AF73D471993DF350/56364b98-663c-4b6e-86d6-3af1a8a5875e
參觀空總「晴空季2026」特展 卓揆期盼「部部都是文化部、季季都是晴空季」 厚植臺灣文化底蘊及思維,115-08-19,行政院長卓榮泰今（19）日出席文化部「晴空季SKYWARD 2026」記者會時表示，「晴空季2026」自8月1日起至11月15日止，於「空總國家文化基地」展出，納入「臺灣文化創意博覽會」、「終戰八十特展」及「We ......,https://www.ey.gov.tw/Page/9277F759E41CCD91/a5dc1d99-5846-493f-921e-4c5fb621399b
出席機器人與智慧自動化工業雙展 卓揆：持續投入預算推動科技發展及AI新十大建設 共促「AI紅利，全民共享」,115-08-19,行政院長卓榮泰今（19）日出席「台灣機器人與智慧自動化展」暨「台北國際自動化工業大展」開幕典禮時表示，今日盛會是百工百業智慧應用的具體實現，透過先進製造能力將AI晶片結合於各類載體，形成良好的產業發展循環。卓院長強......,https://www.ey.gov.tw/Page/9277F759E41CCD91/a557355c-2c19-4502-be06-7503f6192fb8
《臺灣兒少成長及未來帳戶條例》違反憲法權力分立原則、比例原則及租稅法律原則  行政院不予副署,115-08-17,行政院發言人李慧芝今（17）日表示，由於立法院日前三讀的《臺灣兒少成長及未來帳戶條例》，違反憲法權力分立原則、比例原則及租稅法律原則等憲法要求，為捍衛憲政秩序及行政院權限，行政院卓榮泰院長已在今天決定基於憲法賦予行......,https://www.ey.gov.tw/Page/9277F759E41CCD91/c5cef458-b658-484a-b7bb-e36f2f2a0c31
避免引發違憲疑慮 行政院不副署《有線廣播電視法》,115-08-17,"有關立法院本次三讀通過的《有線廣播電視法》，行政院發言人李慧芝今（17）日表示，這次修法涉及的黨政軍條款及裁罰對象規定，與行政院卓榮泰院長先前決定不予副署的《衛星廣播電視法》第5條及第50條內容相近。
 

......",https://www.ey.gov.tw/Page/9277F759E41CCD91/1668d3f9-29d8-4e23-87ce-83d32c06c5ef
參訪彰化「左鄰秀家人」日間照顧中心 卓揆：推動「互助喘息」服務 減輕家庭照顧負擔,115-08-15,行政院長卓榮泰今（15）日前往彰化縣參訪「左鄰秀家人照顧咖啡館」時表示，「左鄰秀家人」目前推動家庭照顧者「互助喘息」的支持服務，雖然場地空間不大，但設備良好，讓許多長者在此獲得用心的照顧，也讓其他相關機構學習成功經......,https://www.ey.gov.tw/Page/9277F759E41CCD91/c6724e1a-53e0-4b5c-8905-e6b78d9cae7d
馬太鞍重建工作展現具體成果 陳金德：農業重災區規劃「一心、一林、兩低地、雙網」新願景,115-08-14,行政院今（14）日召開「馬太鞍溪堰塞湖災後復原重建中央協調會報」第9次會議（擴大會議），由政務委員兼中央協調會報執行秘書陳金德主持，並邀集花蓮縣政府、鄉鎮公所、原住民部落代表出席。對於難以復耕的農業重災區，陳金德政......,https://www.ey.gov.tw/Page/9277F759E41CCD91/6224d612-648e-4a5a-b7b0-64fda94d8e33
卓揆參訪屏東可可產業 肯定結合農業創新及循環經濟 增進農民收益與地方發展,115-08-14,行政院長卓榮泰今（14）日前往屏東縣參訪「台灣可可與巧克力產業協會」時表示，近年來臺灣巧克力產業勇於轉型創新，在地生產的巧克力在國際比賽中屢獲佳績，並持續創造循環經濟價值。未來政府將透過《中小微企業轉型升級發展條例......,https://www.ey.gov.tw/Page/9277F759E41CCD91/f778548f-0ca1-4faa-b831-58c81fcda439
