編號,組別,居住地,通勤方式,每日通勤分鐘,每日睡眠小時,每日手機小時,每週自習小時,每月外食費,最常買飲料,飲料甜度,課前測驗,課後測驗,作業完成率,滿意度,是否取得證照
1,資料分析班,臺北,捷運,42,6.2,5.1,6,6200,珍珠奶茶,半糖,48,78,82,4,是
2,網頁設計班,新北,公車,55,6.8,4.3,5,5800,紅茶拿鐵,微糖,52,76,78,4,否
3,AI應用班,桃園,機車,35,7.1,3.2,9,5100,無糖綠茶,無糖,61,89,95,5,是
4,資料分析班,臺中,機車,28,6.5,4.8,8,4900,多多綠茶,半糖,55,84,91,5,是
5,網頁設計班,彰化,火車,64,5.9,6.2,3,6700,珍珠奶茶,全糖,46,69,65,3,否
6,AI應用班,臺南,機車,22,7.4,2.9,10,4300,美式咖啡,無糖,68,93,98,5,是
7,資料分析班,高雄,捷運,31,6.9,3.7,7,5200,紅茶拿鐵,微糖,57,86,88,4,是
8,網頁設計班,屏東,火車,70,6.0,5.8,4,6100,多多綠茶,半糖,49,72,70,3,否
9,AI應用班,新竹,機車,26,7.0,3.0,11,4800,無糖綠茶,無糖,64,92,97,5,是
10,資料分析班,嘉義,公車,38,6.4,4.6,6,5400,珍珠奶茶,微糖,51,80,84,4,是
11,網頁設計班,臺北,捷運,45,6.7,4.1,7,6900,美式咖啡,無糖,58,83,86,4,是
12,AI應用班,新北,公車,52,6.3,5.0,5,6300,紅茶拿鐵,半糖,54,81,80,4,否
13,資料分析班,桃園,機車,32,7.2,3.3,9,4700,無糖綠茶,無糖,63,90,96,5,是
14,網頁設計班,臺中,機車,24,6.6,4.5,6,4500,多多綠茶,微糖,56,82,85,4,是
15,AI應用班,彰化,火車,61,5.8,6.5,3,6500,珍珠奶茶,全糖,45,70,68,3,否
16,資料分析班,臺南,機車,20,7.5,2.7,12,4200,美式咖啡,無糖,70,95,100,5,是
17,網頁設計班,高雄,捷運,29,6.8,3.9,8,5000,紅茶拿鐵,微糖,60,87,90,5,是
18,AI應用班,屏東,火車,68,6.1,5.6,4,6000,多多綠茶,半糖,50,74,73,3,否
19,資料分析班,新竹,機車,27,7.3,3.1,10,4600,無糖綠茶,無糖,66,91,97,5,是
20,網頁設計班,嘉義,公車,40,6.5,4.4,6,5300,珍珠奶茶,半糖,53,79,82,4,是
21,AI應用班,臺北,捷運,43,6.6,4.2,7,7100,美式咖啡,無糖,59,85,87,4,是
22,資料分析班,新北,公車,58,6.0,5.4,4,6600,紅茶拿鐵,半糖,47,73,72,3,否
23,網頁設計班,桃園,機車,34,7.0,3.5,9,4900,無糖綠茶,無糖,62,88,94,5,是
24,AI應用班,臺中,機車,25,6.7,4.0,8,4600,多多綠茶,微糖,58,86,89,4,是
25,資料分析班,彰化,火車,63,5.7,6.7,2,6800,珍珠奶茶,全糖,43,67,62,2,否
